0 = #000000, [R=0, G=0, B=0]
1 = #0F0F0F, [R=15, G=15, B=15]
2 = #1F1F1F, [R=31, G=31, B=31]
3 = #2F2F2F, [R=47, G=47, B=47]
4 = #3F3F3F, [R=63, G=63, B=63]
5 = #4B4B4B, [R=75, G=75, B=75]
6 = #5B5B5B, [R=91, G=91, B=91]
7 = #6B6B6B, [R=107, G=107, B=107]
8 = #7B7B7B, [R=123, G=123, B=123]
9 = #8B8B8B, [R=139, G=139, B=139]
10 = #9B9B9B, [R=155, G=155, B=155]
11 = #ABABAB, [R=171, G=171, B=171]
12 = #BBBBBB, [R=187, G=187, B=187]
13 = #CBCBCB, [R=203, G=203, B=203]
14 = #DBDBDB, [R=219, G=219, B=219]
15 = #EBEBEB, [R=235, G=235, B=235]
16 = #634B23, [R=99, G=75, B=35]
17 = #5B431F, [R=91, G=67, B=31]
18 = #533F1F, [R=83, G=63, B=31]
19 = #4F3B1B, [R=79, G=59, B=27]
20 = #47371B, [R=71, G=55, B=27]
21 = #3F2F17, [R=63, G=47, B=23]
22 = #3B2B17, [R=59, G=43, B=23]
23 = #332713, [R=51, G=39, B=19]
24 = #2F2313, [R=47, G=35, B=19]
25 = #2B1F13, [R=43, G=31, B=19]
26 = #271B0F, [R=39, G=27, B=15]
27 = #23170F, [R=35, G=23, B=15]
28 = #1B130B, [R=27, G=19, B=11]
29 = #170F0B, [R=23, G=15, B=11]
30 = #130F07, [R=19, G=15, B=7]
31 = #0F0B07, [R=15, G=11, B=7]
32 = #5F5F6F, [R=95, G=95, B=111]
33 = #5B5B67, [R=91, G=91, B=103]
34 = #5B535F, [R=91, G=83, B=95]
35 = #574F5B, [R=87, G=79, B=91]
36 = #534B53, [R=83, G=75, B=83]
37 = #4F474B, [R=79, G=71, B=75]
38 = #473F43, [R=71, G=63, B=67]
39 = #3F3B3B, [R=63, G=59, B=59]
40 = #3B3737, [R=59, G=55, B=55]
41 = #332F2F, [R=51, G=47, B=47]
42 = #2F2B2B, [R=47, G=43, B=43]
43 = #272727, [R=39, G=39, B=39]
44 = #232323, [R=35, G=35, B=35]
45 = #1B1B1B, [R=27, G=27, B=27]
46 = #171717, [R=23, G=23, B=23]
47 = #131313, [R=19, G=19, B=19]
48 = #8F7753, [R=143, G=119, B=83]
49 = #7B6343, [R=123, G=99, B=67]
50 = #735B3B, [R=115, G=91, B=59]
51 = #674F2F, [R=103, G=79, B=47]
52 = #CF974B, [R=207, G=151, B=75]
53 = #A77B3B, [R=167, G=123, B=59]
54 = #8B672F, [R=139, G=103, B=47]
55 = #6F5327, [R=111, G=83, B=39]
56 = #EB9F27, [R=235, G=159, B=39]
57 = #CB8B23, [R=203, G=139, B=35]
58 = #AF771F, [R=175, G=119, B=31]
59 = #93631B, [R=147, G=99, B=27]
60 = #774F17, [R=119, G=79, B=23]
61 = #5B3B0F, [R=91, G=59, B=15]
62 = #3F270B, [R=63, G=39, B=11]
63 = #231707, [R=35, G=23, B=7]
64 = #A73B2B, [R=167, G=59, B=43]
65 = #9F2F23, [R=159, G=47, B=35]
66 = #972B1B, [R=151, G=43, B=27]
67 = #8B2713, [R=139, G=39, B=19]
68 = #7F1F0F, [R=127, G=31, B=15]
69 = #73170B, [R=115, G=23, B=11]
70 = #671707, [R=103, G=23, B=7]
71 = #571300, [R=87, G=19, B=0]
72 = #4B0F00, [R=75, G=15, B=0]
73 = #430F00, [R=67, G=15, B=0]
74 = #3B0F00, [R=59, G=15, B=0]
75 = #330B00, [R=51, G=11, B=0]
76 = #2B0B00, [R=43, G=11, B=0]
77 = #230B00, [R=35, G=11, B=0]
78 = #1B0700, [R=27, G=7, B=0]
79 = #130700, [R=19, G=7, B=0]
80 = #7B5F4B, [R=123, G=95, B=75]
81 = #735743, [R=115, G=87, B=67]
82 = #6B533F, [R=107, G=83, B=63]
83 = #674F3B, [R=103, G=79, B=59]
84 = #5F4737, [R=95, G=71, B=55]
85 = #574333, [R=87, G=67, B=51]
86 = #533F2F, [R=83, G=63, B=47]
87 = #4B372B, [R=75, G=55, B=43]
88 = #433327, [R=67, G=51, B=39]
89 = #3F2F23, [R=63, G=47, B=35]
90 = #37271B, [R=55, G=39, B=27]
91 = #2F2317, [R=47, G=35, B=23]
92 = #271B13, [R=39, G=27, B=19]
93 = #1F170F, [R=31, G=23, B=15]
94 = #170F0B, [R=23, G=15, B=11]
95 = #0F0B07, [R=15, G=11, B=7]
96 = #6F3B17, [R=111, G=59, B=23]
97 = #5F3717, [R=95, G=55, B=23]
98 = #532F17, [R=83, G=47, B=23]
99 = #432B17, [R=67, G=43, B=23]
100 = #372313, [R=55, G=35, B=19]
101 = #271B0F, [R=39, G=27, B=15]
102 = #1B130B, [R=27, G=19, B=11]
103 = #0F0B07, [R=15, G=11, B=7]
104 = #B35B4F, [R=179, G=91, B=79]
105 = #BF7B6F, [R=191, G=123, B=111]
106 = #CB9B93, [R=203, G=155, B=147]
107 = #D7BBB7, [R=215, G=187, B=183]
108 = #CBD7DF, [R=203, G=215, B=223]
109 = #B3C7D3, [R=179, G=199, B=211]
110 = #9FB7C3, [R=159, G=183, B=195]
111 = #87A7B7, [R=135, G=167, B=183]
112 = #7397A7, [R=115, G=151, B=167]
113 = #5B879B, [R=91, G=135, B=155]
114 = #47778B, [R=71, G=119, B=139]
115 = #2F677F, [R=47, G=103, B=127]
116 = #17536F, [R=23, G=83, B=111]
117 = #134B67, [R=19, G=75, B=103]
